rank,model_name,display_name,validation_accuracy,validation_macro_f1,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,training_time_seconds,inference_time_seconds,selected_for_deployment
1,sklearn_mlp,sklearn 神经网络,0.886640976236352,0.8745302543004357,0.8689788053949904,0.8547916307756687,0.8542723664423714,0.8542908289437365,0.8682379555920604,0.4261124590411782,0.00773945904802531,True
2,manual_mlp,NumPy 手写神经网络,0.8702633269107257,0.8565895427045227,0.863519588953115,0.8475376103289075,0.8489531624024929,0.8478774135226189,0.8622847124814174,2.052625000011176,0.00044050009455531836,False
3,sklearn_logistic,sklearn 逻辑回归,0.8702633269107257,0.8566191873467722,0.8580603725112396,0.841735062013197,0.8431737543917267,0.8418699851990995,0.8566633752075579,0.23766550002619624,0.00598754093516618,False
4,manual_logistic,NumPy 手写逻辑回归,0.6714836223506744,0.6283939082988373,0.6888246628131022,0.6524553530345517,0.6549324629576917,0.644649898097116,0.6727177169231696,0.41487691598013043,0.0002297920873388648,False
